"Cidade","UF","Salario.Bruto","Horas.Diarias","Tempo.de.Empresa","Experiencia.Profissional","Iniciativa.Privada.ou.Concursado","Cargo","Formacao","Pos.Graduacao.ou.Certificacao"
"Campina Grande","PB",42120,6,5,7,"Iniciativa Privada","Analista de Suporte","Bacharel em Ciência da Computação","TRUE"
"Brasília","DF",15000,8,12,12,"Concursado","Consultor PNUD/GP","Graduado em Sistemas de Informação","TRUE"
"Recife","PE",13787,7,1,5,"Concursado","Governança de TI","Graduação em Ciência da Computação","FALSE"
"Brasília","DF",12960,7,0.5,10,"Concursado","Desenvolvimento Java","Engenharia de Computação","TRUE"
"Belo Horizonte","MG",9500,8,3,2,"Concursado","Analista de Negócios",,"FALSE"
"Campinas","SP",8500,8,1,7,"Iniciativa Privada","Arquiteto de sistemas, Java/Oracle/J2EE/Web","Ciencias da computacao","TRUE"
"Brasília","DF",8000,8,0.83,15,,"COBOL",,"TRUE"
"Rio de Janeiro","RJ",7680,8,7,7,"Iniciativa Privada","Analista de Sistemas / Lider de equipe","Ciências da Computação","TRUE"
"Belo Horizonte","MG",7550,8,5,15,"Iniciativa Privada","Gerente de Projetos","Bacharel em Ciência da Computação","TRUE"
"São Paulo","SP",7500,8,2,6,"Iniciativa Privada","Analista programador JAVA/J2EE","Bacharel em Ciência da Computação","TRUE"
"Belo Horizonte","MG",7200,8,3,8,"Iniciativa Privada","Arquiteto de sistemas","Ciência da Computação","TRUE"
"Belo Horizonte","MG",7200,8,4,12,"Iniciativa Privada","Arquiteto de sistemas","Sistemas de Informação","TRUE"
"Brasília","DF",7000,7,0.16,7,"Iniciativa Privada","Consultor PNUD/Java","Graduação em Análise e desenvolvimento de sistemas","TRUE"
"Belo Horizonte","MG",6800,8.8,9,9,"Iniciativa Privada","SAP","Bacharel Ciência da Computação","TRUE"
"Guaratingueta","SP",6700,7,4,4,"Concursado",,"Bacharel em Ciência da Computação","FALSE"
"Rio de Janeiro","RJ",6500,8,0.25,4,"Iniciativa Privada","Analista Desenvolvedor Java Senior","Ciências da Computação","TRUE"
"Rio de Janeiro","RJ",6500,8,1,12,"Iniciativa Privada","Analise de Sistemas","Bacharel em Informática","TRUE"
"Brasilia","DF",6300,8,0.25,8,"Iniciativa Privada","Analista de Qualidade de Software/ CMMI, MPS.BR, EPF Composer, APF, Qualidade, Testes","Ciência da Computação - UFMG","TRUE"
"Brasília","DF",6300,8,4,11,"Iniciativa Privada","Projetista de Software","Graduação em Ciência da Computação","TRUE"
"Fortaleza","CE",6300,8,0.25,4,,"Consultor, Analista, Programador etc",,"FALSE"
"Rio de Janeiro","RJ",6300,8,1,7,"Iniciativa Privada","Lider de Projeto / Flex/Java","Ciencia da Computacao","FALSE"
"Ribeirão Preto","SP",6200,8,2,10,"Iniciativa Privada","Administrador de Dados",,"TRUE"
"Rio de Janeiro","RJ",6200,8,0.25,0,"Concursado","Analista de Sistemas","Ciência da Computação","FALSE"
"Vitória","ES",6100,8,5,12,"Iniciativa Privada","Gerente de projetos","Bacharel em Ciência da Computação","FALSE"
"Belo Horizonte","MG",6000,8,3,5,"Iniciativa Privada","Programador J2EE","Bacharel em Ciencias da Computação","TRUE"
"Belo Horizonte","MG",6000,9,2,4,"Iniciativa Privada","Desenvolvedor Java","Graduação em Ciências da Computação","TRUE"
"Campinas","SP",6000,8,4,0.16,"Iniciativa Privada","Analista de sistemas - J2EE, Oracle, Forms, Reports",,"TRUE"
"Fortaleza","CE",6000,8,4,8,"Concursado","Gestor de TI","Ciência da Computação","TRUE"
"João Pessoa","PB",5800,7,3.5,5,"Concursado","Desenvolvedor","Ciência da Computação","TRUE"
"Rio de Janeiro","RJ",5800,8,2,4,"Iniciativa Privada","Analista de Sistemas / Java","Bacharel em Ciência da Computação","FALSE"
"Campinas","SP",5700,8,1,5,"Iniciativa Privada","Analise de Sistemas","Graduação em Ciência da Computação","TRUE"
"Rio de Janeiro","RJ",5700,8,2.83,5,"Iniciativa Privada","Analista de Sistemas / Java / Flex","Bacharel em Ciência da Computação","TRUE"
"Rio de Janeiro","RJ",5600,8,1,5,"Iniciativa Privada","Analista de sistemas - Projeto e avaliação de interfaces","Bacharelado em Informática","TRUE"
"Belo Horizonte","MG",5500,8,0.5,10,,"Consultor Arquitetura de Infraestrutura",,"FALSE"
"Brasília","DF",5500,8,1,6,"Concursado","Analista de Negócio","Bacharel em Ciencias da Computação","TRUE"
"Campinas","SP",5500,8,3,5,"Iniciativa Privada","analista de sistemas / oracle forms reports e java","Bacharelado em Informática - USP","FALSE"
"São Paulo","SP",5500,8,2,2,"Iniciativa Privada","Lider Técnico","Ciência da Computação","TRUE"
"Porto Alegre","RS",5495,7,4,14,"Concursado","Programador de Sistemas","Graduação em Ciência da Computação","TRUE"
"Belo Horizonte","MG",5400,8,1,4,"Iniciativa Privada","Desenvolvimento Java","Sistemas de Informação","TRUE"
